Cpu,mae,mse,rmse,File,c,epison,cs,iterations
0.01876299999999997,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,7835.71,58.48,0.32,997
0.02044299999999999,1.5776203761874048,2.494925343712928,1.5795332676816047,strogatz_shearflow1.csv,5310.51,11.08,0.63,798
0.01964200000000005,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,7129.93,70.31,0.56,259
0.02107300000000001,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,9661.79,51.04,0.7,21
0.016085000000000016,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,232.15,75.81,0.96,240
0.016542999999999974,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,5069.42,72.71,0.68,38
0.02232500000000004,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,5487.92,88.91,0.48,417
0.024824999999999986,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,5181.09,63.15,0.69,713
0.016622999999999943,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,4200.98,85.5,0.14,230
0.01820299999999997,1.5776203761874048,2.494925343712928,1.5795332676816047,strogatz_shearflow1.csv,9038.01,32.16,0.93,39
0.01905599999999996,1.5776203761874044,2.4949253437129264,1.5795332676816043,strogatz_shearflow1.csv,1956.73,8.97,0.16,303
0.02270499999999997,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,7843.38,57.55,0.71,358
0.01663300000000001,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,111.6,54.33,0.63,85
0.017594,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,1321.57,48.31,0.27,415
0.017046000000000006,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,4362.05,92.84,0.82,591
0.02474199999999993,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,1764.61,92.11,0.06,574
0.018618000000000023,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,3007.96,83.0,0.72,37
0.01831099999999997,1.5776203761874041,2.494925343712925,1.5795332676816038,strogatz_shearflow1.csv,4516.87,13.77,0.73,655
0.026285000000000003,1.5776203761874041,2.494925343712925,1.5795332676816038,strogatz_shearflow1.csv,7536.28,16.73,0.41,600
0.0354239999999999,1.5776203761874041,2.494925343712925,1.5795332676816038,strogatz_shearflow1.csv,8462.34,16.04,0.7,541
0.015002999999999987,1.5776203761874068,2.494925343712933,1.5795332676816063,strogatz_shearflow1.csv,5958.27,62.27,0.09,995
0.0152540000000001,1.5776203761874041,2.494925343712925,1.5795332676816038,strogatz_shearflow1.csv,2359.71,19.55,0.02,707
0.019770000000000062,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,7835.71,58.48,0.32,997
0.02301700000000006,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,7129.93,70.31,0.56,259
0.01987300000000003,0.09707119165967433,0.010640054305643864,0.10315063890080303,strogatz_vdp2.csv,9661.79,51.04,0.7,21
